Title	URL	Status	Sprint	Task Type	Nature	Epic	Assignees	Estimated Time	Linked pull requests	Priority
Create DB functions to delete a user's account	https://github.com/LASTA-OUTDOOR/lasta/issues/285	In Development	Sprint 9	Backend	Sprint Task	Users	Thimphou	6h		Important
Store the activity tracking infos in the DB	https://github.com/LASTA-OUTDOOR/lasta/issues/283	In Development	Sprint 9	Backend	Sprint Task	Tracking	Andy130604	7h		TOP
Implement UI design to display tracking information of an activity	https://github.com/LASTA-OUTDOOR/lasta/issues/282	In Development	Sprint 9	Frontend	Sprint Task	Tracking	Andy130604	7h		TOP
Send pop-up notifications when Favorites activities have good weather for tomorrow	https://github.com/LASTA-OUTDOOR/lasta/issues/218	In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	ecornamu	7h		Interesting to have
Redesign friends display on the friendlist	https://github.com/LASTA-OUTDOOR/lasta/issues/279	In Development	Sprint 9	Frontend	Sprint Task	User's experience (UX/UI)	ecornamu	6h		Interesting to have
Users can delete their account		Sprint Backlog	Sprint 9	Backend	User Story	Users				Important
Users are shown correct and clear UI no matter the device/language		Sprint Backlog	Sprint 9	Frontend	User Story	User's experience (UX/UI)				
Users without an internet connection are shown as much information as possible		Sprint Backlog	Sprint 9	Frontend + backend	User Story	User's experience (UX/UI)				
Users receive notifications about weather reports/friend activities		Sprint Backlog	Sprint 9	Frontend	User Story	User's experience (UX/UI)				Interesting to have
Users can track their activities		Sprint Backlog	Sprint 9		User Story	Tracking				TOP
Users do not encounter any significant bug		Sprint Backlog	Sprint 9	Frontend + backend	User Story	User's experience (UX/UI)				
Users can see better activities and share them to their friends		Sprint Backlog	Sprint 9	Frontend + backend	User Story	Activities Interactivity				
Re-do messages design for the social part (they look like a form when writing a message, look figma)	https://github.com/LASTA-OUTDOOR/lasta/issues/217	Done in Sprint 7	Sprint 7	Frontend	Sprint Task	Social	JeremyHugentobler	4h	https://github.com/LASTA-OUTDOOR/lasta/pull/242	Important
Allow weather report location to be changed for the activity start position	https://github.com/LASTA-OUTDOOR/lasta/issues/216	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Activities Interactivity	ecornamu	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/234	Important
Setting DB for Tracking	https://github.com/LASTA-OUTDOOR/lasta/issues/214	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Tracking	ecornamu	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/240	TOP
Show friends activity on feed	https://github.com/LASTA-OUTDOOR/lasta/issues/215	Done in Sprint 7	Sprint 7	Frontend + backend	Sprint Task	Tracking	JoniDutoit	7h	https://github.com/LASTA-OUTDOOR/lasta/pull/244	TOP
Users can now sort activities by difficulty, distance and rating		Done in Sprint 7	Sprint 7	Backend	User Story	Social				Interesting to have
Users can see friends activity and their stats		Done in Sprint 7	Sprint 7		User Story	Tracking				TOP
User can see friend's recent activities		Done in Sprint 7			User Story	Tracking				
Make Discover Search Bar + Localities (Ecublens, Payerne, ...) responsive, not hard coded and working	https://github.com/LASTA-OUTDOOR/lasta/issues/219	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Activities Interactivity	JeremyHugentobler	13h+	https://github.com/LASTA-OUTDOOR/lasta/pull/235	Interesting to have
Basic Offline mode functions for activities	https://github.com/LASTA-OUTDOOR/lasta/issues/229	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Offline mode	npfrei	3h	https://github.com/LASTA-OUTDOOR/lasta/pull/243	Important
Implement offline app capabilities by caching the correct activities	https://github.com/LASTA-OUTDOOR/lasta/issues/140	Done in Sprint 7	Sprint 7	Backend	Sprint Task	Offline mode	npfrei	11h	https://github.com/LASTA-OUTDOOR/lasta/pull/243	Interesting to have
Rating system to be displayed (comments, rating that are shown and users can add one)	https://github.com/LASTA-OUTDOOR/lasta/issues/213	Done in Sprint 7	Sprint 7	Frontend + backend	Sprint Task	Activities Interactivity	Thimphou	9h		Important
Implementation of an error manager with error codes	https://github.com/LASTA-OUTDOOR/lasta/issues/255	Done in Sprint 8	Sprint 8	Backend	Sprint Task	User's experience (UX/UI)	Thimphou	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/277	Important
Finish all MoreInfoScreen	https://github.com/LASTA-OUTDOOR/lasta/issues/254	Done in Sprint 8	Sprint 8	Frontend + backend	Sprint Task	Activities Interactivity	Thimphou	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/269	TOP
Redesign SettingsScreen and SetupScreen	https://github.com/LASTA-OUTDOOR/lasta/issues/253	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	User's experience (UX/UI)	CassioManuguerra	10h	https://github.com/LASTA-OUTDOOR/lasta/pull/266	TOP
NavGraphs adapted for taking less parameters	https://github.com/LASTA-OUTDOOR/lasta/issues/246	Done in Sprint 8	Sprint 8	Frontend	Sprint Task		JeremyHugentobler	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/275	TOP
Explore all app and fix bugs for MS3	https://github.com/LASTA-OUTDOOR/lasta/issues/252	Done in Sprint 8	Sprint 8	Frontend + backend	Sprint Task		CassioManuguerra	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/284	TOP
Make Language preference change the language of the app	https://github.com/LASTA-OUTDOOR/lasta/issues/250	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	Users	npfrei	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/267	Important
PRD drafting BEFORE WEDNESDAY so everyone on the team can add things, and we can discuss about it.	https://github.com/LASTA-OUTDOOR/lasta/issues/249	Done in Sprint 8	Sprint 8	Structure - Comments	Sprint Task		npfrei	7h		TOP
Send pop-up notifications about friend's messages	https://github.com/LASTA-OUTDOOR/lasta/issues/220	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	User's experience (UX/UI)	Andy130604, CassioManuguerra	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/270	Important
Implementation of Android Notifications	https://github.com/LASTA-OUTDOOR/lasta/issues/245	Done in Sprint 8	Sprint 8	Backend	Sprint Task	User's experience (UX/UI)	Andy130604	4h	https://github.com/LASTA-OUTDOOR/lasta/pull/270	Important
Sorting by difficulty and rating activities with the filter applied	https://github.com/LASTA-OUTDOOR/lasta/issues/212	Done in Sprint 7	Sprint 7	Frontend + backend	Sprint Task	Activities Interactivity	CassioManuguerra	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/228	Important
Bug fix small details in the app.	https://github.com/LASTA-OUTDOOR/lasta/issues/226	Done in Sprint 7	Sprint 7	Frontend	Sprint Task	User's experience (UX/UI)	Andy130604	3h	https://github.com/LASTA-OUTDOOR/lasta/pull/230	Important
Public transport schedule		Product Backlog		Backend	User Story	Activities Interactivity				
Redesign Discover UI	https://github.com/LASTA-OUTDOOR/lasta/issues/211	In Development	Sprint 9	Frontend + backend	Sprint Task	User's experience (UX/UI)	JoniDutoit	10h		Interesting to have
